date,pm2_5,temp_mean,temp_max,temp_min,precip_total,wind_speed_max,wind_speed_mean,wind_dir_dominant
2022-03-01,107.0,28.416666666666668,32.7,24.9,0.7000000000000001,11.3,7.45,178.9292631242805
2022-03-02,83.0,28.391666666666666,31.8,25.4,1.9000000000000001,11.3,8.233333333333333,180.5895967932758
2022-03-03,69.0,28.820833333333336,32.8,25.4,0.4,13.4,7.258333333333333,188.06447029102375
2022-03-04,81.0,28.962500000000002,33.8,24.9,0.0,15.0,7.033333333333334,208.479508467909
2022-03-05,86.0,29.516666666666666,33.7,26.4,0.2,14.8,9.241666666666667,182.76127214964097
2022-03-06,78.0,29.566666666666666,33.3,26.7,0.0,18.9,13.066666666666668,172.97823744636904
2022-03-07,71.0,29.150000000000002,32.5,24.5,20.4,17.8,9.55,165.66728291314195
2022-03-08,89.0,26.5,30.1,24.1,4.8,14.1,8.354166666666666,59.351316107519835
2022-03-09,147.0,27.650000000000002,32.0,23.5,0.0,10.0,5.270833333333333,31.876998888488753
2022-03-10,93.0,28.22083333333333,31.6,25.0,0.8,13.1,7.6875,190.09684446726524
2022-03-11,86.0,28.625,31.8,25.7,1.1,12.8,7.8625,188.9968327932201
2022-03-12,93.0,29.25,33.2,26.0,0.2,11.2,7.441666666666666,174.80273325949207
2022-03-13,93.0,29.229166666666668,32.9,26.0,0.1,13.4,8.904166666666667,177.3253560749487
2022-03-14,79.0,29.379166666666666,32.9,26.8,0.0,21.2,12.408333333333333,177.81096601485834
2022-03-15,59.0,29.575,34.2,25.9,0.0,19.8,12.049999999999999,183.15208485038212
2022-03-16,50.0,29.241666666666664,32.5,26.9,1.3000000000000003,18.8,12.829166666666666,183.1793906684838
2022-03-17,54.0,29.691666666666666,33.5,26.5,0.0,18.3,11.1,184.05482807072002
2022-03-18,72.0,28.308333333333334,32.7,25.2,13.4,16.4,6.9750000000000005,171.43122305494722
2022-03-19,85.0,28.066666666666666,32.6,24.0,0.0,12.7,5.983333333333333,126.75955580351727
2022-03-20,76.0,27.745833333333334,31.9,24.9,5.0,15.6,10.3125,148.40420116839465
2022-03-21,56.0,27.483333333333334,30.3,25.0,9.4,21.7,14.366666666666667,163.40279878537117
2022-03-22,56.0,27.445833333333336,30.3,24.8,8.7,21.7,11.654166666666667,169.3597803145397
2022-03-23,74.0,26.9875,29.4,25.0,4.0,14.4,7.804166666666666,167.22223018244566
2022-03-24,70.0,27.712500000000002,30.5,25.9,4.2,13.2,7.554166666666666,198.36422211716686
2022-03-25,66.0,28.133333333333336,30.8,25.0,6.500000000000001,12.5,7.9750000000000005,198.38547324831785
2022-03-26,59.0,29.087500000000002,32.2,26.1,0.0,13.1,9.558333333333334,192.31579794088725
2022-03-27,55.0,29.491666666666664,33.2,26.5,0.9,15.1,8.741666666666667,192.77764806145797
2022-03-28,71.0,28.891666666666666,32.5,25.5,2.9,16.9,8.708333333333334,167.32116034783184
2022-03-29,64.0,27.883333333333336,31.2,24.5,6.5,10.8,6.8500000000000005,131.28945713963242
2022-03-30,69.0,27.833333333333332,31.8,24.5,7.1,11.1,5.483333333333333,158.47096724028216
2022-03-31,84.0,28.53333333333333,32.8,25.2,11.4,13.7,7.145833333333333,337.6543226778141
2022-04-01,80.0,28.4375,32.4,24.4,0.2,16.9,9.987499999999999,39.81139870524457
2022-04-02,44.0,25.2375,27.6,22.2,0.0,20.2,12.379166666666668,56.32652912878571
2022-04-03,50.0,21.816666666666666,25.1,19.5,0.6,17.8,12.891666666666667,4.132413874310626
2022-04-04,80.0,25.358333333333334,30.9,21.0,0.0,13.8,8.6625,13.927449820764895
2022-04-05,96.0,27.458333333333332,32.1,21.6,0.0,10.7,7.1499999999999995,22.34790981190246
2022-04-06,115.0,29.36666666666667,34.7,23.6,0.0,13.2,7.5125,42.60898907517486
2022-04-07,114.0,29.791666666666668,34.6,25.1,0.0,17.2,11.029166666666667,56.451396680368454
2022-04-08,153.0,29.208333333333332,34.2,24.1,0.0,15.0,9.720833333333333,53.39646463909645
2022-04-09,173.0,29.65833333333333,35.3,23.9,0.0,13.2,6.816666666666666,61.3739197110746
2022-04-10,163.0,29.883333333333336,34.9,25.0,0.0,12.3,6.7250000000000005,166.1941103348547
2022-04-11,135.0,29.554166666666664,33.8,25.8,1.9000000000000001,15.1,9.479166666666666,185.8946702365634
2022-04-12,137.0,30.045833333333334,34.5,27.5,0.9,15.1,9.466666666666667,184.61394344466038
2022-04-13,99.0,30.804166666666664,35.8,27.1,0.5,18.2,10.729166666666666,184.3841708482794
2022-04-14,100.0,31.587500000000002,37.5,26.9,0.0,13.1,8.308333333333334,204.01997535246764
2022-04-15,108.0,31.512500000000003,37.2,26.4,0.0,14.7,9.770833333333334,214.12656881618855
2022-04-16,101.0,31.270833333333332,37.0,26.9,0.0,18.0,9.541666666666666,200.9766143200921
2022-04-17,93.0,30.337500000000002,33.0,28.0,2.7,16.2,10.745833333333332,161.71915865997775
2022-04-18,93.0,27.483333333333334,30.6,24.9,32.8,9.8,5.854166666666667,117.28170531730143
2022-04-19,83.0,27.083333333333332,30.1,24.6,12.2,11.9,6.866666666666667,35.2454106597855
2022-04-20,99.0,28.254166666666666,32.0,24.5,5.5,8.6,5.5249999999999995,4.823784821919219
2022-04-21,89.0,28.179166666666664,31.0,25.7,4.0,13.8,6.083333333333333,143.3902820610981
2022-04-22,67.0,28.504166666666666,31.5,26.3,11.299999999999999,16.0,8.533333333333333,196.52286550825042
2022-04-23,56.0,29.379166666666666,32.7,26.6,0.5,16.6,9.745833333333334,187.14807798433677
2022-04-24,63.0,29.72083333333333,33.7,26.6,0.30000000000000004,16.6,9.475,201.46288731934519
2022-04-25,59.0,29.791666666666668,32.6,27.2,0.30000000000000004,18.9,12.65,184.62059394917884
2022-04-26,60.0,30.129166666666666,33.0,28.0,1.1,17.7,12.295833333333333,187.15791746056527
2022-04-27,72.0,30.912499999999998,35.7,27.0,0.0,14.5,7.7,198.5115747938511
2022-04-28,72.0,30.795833333333334,35.2,27.3,5.0,19.1,11.720833333333333,171.39192738446604
2022-04-29,60.0,28.787499999999998,33.1,24.7,2.3,11.1,5.508333333333333,28.737991667063675
2022-04-30,97.0,29.020833333333332,32.5,25.9,3.0,10.7,6.1499999999999995,154.92793105568455
2022-05-01,75.0,28.291666666666668,32.0,25.2,4.9,12.3,7.870833333333334,83.8835753864262
2022-05-02,63.0,26.179166666666664,29.3,23.5,44.7,19.0,12.012500000000001,62.483999284568306
2022-05-03,56.0,24.254166666666666,26.6,22.0,0.0,11.5,7.675,38.703701259277864
2022-05-04,68.0,24.162499999999998,27.6,21.1,0.0,11.1,6.9875,4.079261029958815
2022-05-05,79.0,26.925,31.5,23.0,0.0,9.9,6.979166666666667,56.139266484669506
2022-05-06,95.0,27.329166666666666,32.3,24.7,14.8,16.3,7.491666666666667,82.25701965248686
2022-05-07,79.0,27.27916666666667,32.3,24.6,4.3,14.9,8.308333333333334,64.51519553333497
2022-05-08,70.0,27.1125,31.5,24.0,6.199999999999999,14.8,7.141666666666667,71.09379596118828
2022-05-09,65.0,27.441666666666666,31.4,24.1,8.700000000000001,17.2,8.779166666666667,121.41588316641072
2022-05-10,45.0,27.329166666666666,30.0,23.6,4.7,16.6,8.979166666666666,161.43783041736197
2022-05-11,57.0,27.462500000000002,29.6,25.6,4.5,13.6,8.466666666666667,183.712999119814
2022-05-12,64.0,28.15416666666667,31.3,25.5,7.0,17.1,6.691666666666666,212.22251177156429
2022-05-13,66.0,29.15833333333333,32.8,25.9,0.3,14.4,8.279166666666667,225.57961495848247
2022-05-14,79.0,29.316666666666666,32.3,26.1,5.6000000000000005,10.5,7.266666666666667,212.45376230497922
2022-05-15,74.0,29.4875,32.8,27.5,4.6,13.1,6.958333333333333,207.20744355566242
2022-05-16,53.0,28.758333333333336,33.2,25.6,15.299999999999999,16.8,7.95,243.9270726370959
2022-05-17,57.0,26.579166666666666,30.2,24.5,21.9,13.4,6.4624999999999995,62.304236834769654
2022-05-18,58.0,26.425,29.9,24.1,22.8,15.3,6.5,137.24698845267764
2022-05-19,51.0,27.320833333333336,30.7,24.4,20.2,18.7,11.708333333333334,152.76787069218278
2022-05-20,33.0,28.258333333333336,31.0,26.0,9.0,23.3,14.549999999999999,199.1825694808086
2022-05-21,39.0,27.454166666666666,29.8,26.0,8.5,22.9,14.520833333333334,205.49371661661135
2022-05-22,59.0,26.691666666666666,29.2,25.1,8.4,17.1,11.5875,215.9103256987512
2022-05-23,56.0,27.849999999999998,31.0,25.0,1.5,20.0,11.325000000000001,227.27567198855024
2022-05-24,59.0,27.895833333333332,30.6,25.6,9.1,19.9,10.908333333333333,212.46525412273965
2022-05-25,60.0,27.9375,31.9,25.0,2.5,16.2,8.891666666666667,235.24137748980692
2022-05-26,58.0,28.087500000000002,31.4,25.0,0.7000000000000001,17.3,11.008333333333333,249.37229048382966
2022-05-27,73.0,28.287499999999998,32.1,25.9,8.2,22.7,10.875,245.09974622562277
2022-05-28,73.0,27.74166666666667,32.4,24.6,3.8000000000000003,21.1,10.775,226.1252503361647
2022-05-29,92.0,28.045833333333334,32.3,25.4,5.0,16.0,10.058333333333334,228.69842825583157
2022-05-30,73.0,28.09166666666667,32.0,24.6,3.2,17.6,10.870833333333332,234.9245356668645
2022-05-31,78.0,28.083333333333332,32.3,25.1,7.0,14.0,6.8500000000000005,228.92587228571492
2022-06-01,83.0,28.766666666666666,32.5,25.4,1.5000000000000002,17.8,6.920833333333333,221.4545512498897
2022-06-02,65.0,28.920833333333334,32.4,25.7,3.6,20.2,9.279166666666667,210.94113328194948
2022-06-03,48.0,28.545833333333334,31.5,26.5,12.1,17.7,10.145833333333334,186.2240737672273
2022-06-04,43.0,27.974999999999998,30.6,26.2,1.9,19.7,11.566666666666668,192.90594941535352
2022-06-05,50.0,28.0,31.1,25.0,0.4,13.4,8.512500000000001,231.85846260516163
2022-06-06,44.0,27.9375,31.9,25.0,0.2,16.1,8.950000000000001,236.0420432903865
2022-06-07,57.0,28.400000000000002,32.1,25.2,0.8999999999999999,18.2,10.620833333333334,236.46784414424008
2022-06-08,55.0,28.5125,32.8,25.1,0.5,14.8,9.512500000000001,222.59748192120668
2022-06-09,63.0,28.7625,32.7,25.0,5.5,16.1,7.954166666666667,226.59760569864602
2022-06-10,66.0,28.662499999999998,33.0,25.1,0.30000000000000004,14.7,8.020833333333334,233.35789889101412
2022-06-11,61.0,29.27916666666667,34.1,25.3,2.0,13.9,8.0875,223.9806071269893
2022-06-12,63.0,29.57083333333333,34.6,25.5,0.4,15.5,6.9375,255.28189414607607
2022-06-13,77.0,29.099999999999998,34.2,25.0,13.5,13.1,6.458333333333333,241.51984204540895
2022-06-14,70.0,29.625,33.2,27.0,1.5,14.4,9.125,190.88282473874915
2022-06-15,66.0,29.337500000000002,32.0,26.6,4.2,18.1,9.887500000000001,187.77847396504373
2022-06-16,59.0,29.483333333333334,31.8,27.0,2.1,14.5,9.716666666666667,173.69617273271672
2022-06-17,65.0,30.212500000000002,34.7,26.5,0.2,13.6,7.108333333333333,225.08373360398488
2022-06-18,64.0,30.204166666666666,34.7,26.5,0.4,12.1,7.183333333333334,257.66778726467044
2022-06-19,60.0,30.037499999999998,36.5,25.9,1.5,14.8,9.875,250.75817450186017
2022-06-20,49.0,30.108333333333334,36.5,25.2,1.2000000000000002,21.8,10.016666666666667,255.87670479725858
2022-06-21,54.0,28.629166666666666,34.0,25.5,19.7,18.4,8.333333333333334,256.7467566769692
2022-06-22,66.0,28.75,33.3,26.0,3.5,16.2,6.791666666666667,223.613161195653
2022-06-23,54.0,28.65416666666667,33.7,25.4,2.5,17.7,6.4375,234.72060095829175
2022-06-24,55.0,28.0125,31.6,25.1,25.8,14.7,6.758333333333333,204.7365587824584
2022-06-25,51.0,27.729166666666668,31.4,24.8,4.6,12.7,6.704166666666667,149.86676730334418
2022-06-26,42.0,27.7,31.1,25.0,6.6,17.8,11.216666666666667,158.04359955298864
2022-06-27,44.0,27.775000000000002,30.5,26.0,5.9,16.0,9.058333333333334,174.4836098591724
2022-06-28,57.0,28.349999999999998,33.7,25.1,6.0,11.9,6.441666666666666,245.68676034240133
2022-06-29,76.0,29.1875,33.5,25.5,1.7000000000000002,16.9,8.654166666666667,255.57393611814462
2022-06-30,68.0,28.775000000000002,34.2,25.7,11.700000000000001,21.1,10.520833333333334,256.89644044815014
2022-07-01,42.0,29.070833333333336,32.7,26.0,7.2,16.8,12.258333333333333,229.54830073443676
2022-07-02,44.0,28.2,30.6,25.9,7.1,15.9,9.508333333333333,218.31343423304332
2022-07-03,49.0,28.537499999999998,31.4,25.9,3.1,17.3,10.341666666666667,226.50186170709907
2022-07-04,44.0,28.3625,32.2,26.5,5.7,22.2,11.5,208.73762247813247
2022-07-05,48.0,28.858333333333334,31.6,26.0,1.5,16.9,10.987499999999999,206.60807303942946
2022-07-06,56.0,29.15833333333333,33.2,25.5,2.3,16.2,9.241666666666667,230.85211539990985
2022-07-07,55.0,28.858333333333334,32.0,25.9,3.3,20.0,8.995833333333334,241.37444114500568
2022-07-08,53.0,28.458333333333332,33.2,25.9,13.6,22.2,11.216666666666667,228.41406129572096
2022-07-09,54.0,27.245833333333334,31.0,25.8,13.6,20.4,7.4375,229.9964486923064
2022-07-10,49.0,27.4375,29.5,25.6,3.4,20.7,9.4375,237.01722933414754
2022-07-11,49.0,27.883333333333336,29.9,25.2,0.8,14.6,9.795833333333333,257.42806404605403
2022-07-12,58.0,27.616666666666664,30.2,25.7,3.1,18.9,11.737499999999999,264.4184314928109
2022-07-13,59.0,25.962500000000002,27.9,24.8,7.0,14.5,9.420833333333333,253.18076035444562
2022-07-14,55.0,27.583333333333332,32.3,25.1,2.3,18.3,8.4125,232.91997961652407
2022-07-15,71.0,27.583333333333332,30.5,24.7,8.9,11.8,8.1625,225.17063067768711
2022-07-16,60.0,27.6875,31.5,24.8,2.5,19.8,7.925,191.55221466674078
2022-07-17,47.0,27.974999999999998,31.2,25.1,4.7,14.9,6.8125,237.08610188699822
2022-07-18,57.0,28.804166666666664,33.0,25.2,7.3,15.5,9.291666666666666,243.99988033024096
2022-07-19,53.0,29.28333333333333,34.7,25.7,0.8,19.2,11.733333333333334,251.1411050963847
2022-07-20,54.0,27.983333333333334,32.8,25.9,13.1,16.6,9.5875,258.8811885709209
2022-07-21,44.0,26.1125,28.6,24.8,34.9,15.6,8.554166666666667,204.70006525259075
2022-07-22,48.0,27.454166666666666,30.3,25.4,3.6,16.4,9.308333333333334,183.66915247580457
2022-07-23,45.0,27.916666666666668,30.5,25.3,5.7,18.2,8.700000000000001,178.35645694087043
2022-07-24,63.0,27.195833333333336,31.2,24.1,22.3,10.0,4.229166666666667,76.98440656333506
2022-07-25,56.0,27.787499999999998,31.5,24.7,6.800000000000001,12.4,4.591666666666667,28.929472465606477
2022-07-26,59.0,28.825,32.5,25.5,1.0,10.0,4.4125000000000005,120.21880082773914
2022-07-27,54.0,29.054166666666664,31.8,26.5,3.2,11.3,7.641666666666667,165.9492932240085
2022-07-28,51.0,28.183333333333334,30.9,25.6,2.6,12.3,8.558333333333334,182.70777482934554
2022-07-29,54.0,28.833333333333332,31.9,26.8,0.6000000000000001,14.4,9.641666666666667,187.16341136019156
2022-07-30,53.0,28.791666666666668,33.0,25.4,4.4,15.6,6.5625,240.46755831729183
2022-07-31,52.0,28.09583333333333,32.6,25.9,13.0,13.5,6.7250000000000005,248.65447458081496
2022-08-01,52.0,26.7375,29.4,25.1,33.9,16.2,6.825,160.68436601277978
2022-08-02,45.0,26.545833333333334,28.0,24.8,9.4,18.0,10.145833333333334,164.4386716471674
2022-08-03,44.0,27.704166666666666,30.0,25.9,2.9,21.0,12.35,181.93016532277838
2022-08-04,53.0,27.541666666666668,31.8,25.6,8.6,13.7,6.470833333333334,223.5971379000865
2022-08-05,53.0,27.420833333333334,29.9,25.0,5.7,16.2,9.158333333333333,221.71469598750772
2022-08-06,58.0,28.175,31.2,26.1,0.5,15.5,10.450000000000001,214.24553517828375
2022-08-07,31.0,27.458333333333332,30.0,25.8,8.5,19.0,10.995833333333332,198.66334899963257
2022-08-08,37.0,26.3125,28.4,25.4,20.8,11.5,6.904166666666666,219.19965463130092
2022-08-09,56.0,25.816666666666666,28.1,23.6,6.7,12.4,5.629166666666666,222.47532287376663
2022-08-10,58.0,27.370833333333334,31.5,24.0,1.2,16.6,10.258333333333333,243.7468271107444
2022-08-11,55.0,27.325,30.5,25.5,17.4,17.9,11.0375,232.59298022299043
2022-08-12,55.0,26.883333333333336,30.4,24.5,10.4,18.8,10.508333333333333,199.6257591905883
2022-08-13,56.0,27.474999999999998,31.2,23.9,1.0,17.7,7.3999999999999995,210.65346663235016
2022-08-14,50.0,28.204166666666666,31.5,24.9,1.7,13.0,6.891666666666667,241.8052332102561
2022-08-15,53.0,27.537499999999998,31.9,25.3,31.5,16.6,9.341666666666667,254.60735798110062
2022-08-16,51.0,26.770833333333332,29.6,24.9,7.9,15.3,9.504166666666666,226.6169553752465
2022-08-17,53.0,27.666666666666668,30.6,25.2,3.8,21.7,10.916666666666666,206.6389573372968
2022-08-18,55.0,27.837500000000002,30.6,25.2,2.6999999999999997,14.6,8.483333333333333,221.028195832938
2022-08-19,57.0,27.558333333333334,31.6,25.0,25.599999999999998,16.0,8.125,229.09980390634524
2022-08-20,59.0,27.166666666666668,30.9,24.8,4.9,17.0,10.200000000000001,238.38975773533173
2022-08-21,60.0,27.5,30.6,25.0,11.700000000000001,14.2,8.549999999999999,225.1303346979862
2022-08-22,56.0,27.775000000000002,31.4,25.9,1.3,16.7,9.291666666666666,199.82176971332902
2022-08-23,64.0,28.212500000000002,32.0,24.3,0.39999999999999997,14.0,7.133333333333333,229.2529443468708
2022-08-24,67.0,28.770833333333332,33.5,25.1,0.0,16.6,8.775,246.8016131269972
2022-08-25,55.0,27.070833333333336,29.6,24.9,36.6,14.7,8.470833333333333,231.5787260185795
2022-08-26,47.0,26.858333333333334,29.0,25.6,11.6,23.0,12.737499999999999,187.9319628802057
2022-08-27,51.0,27.275000000000002,30.2,24.9,0.8,16.9,10.533333333333333,154.96848997908882
2022-08-28,50.0,28.099999999999998,31.6,25.1,2.1,10.9,4.591666666666667,104.5232663403264
2022-08-29,62.0,26.541666666666668,29.8,25.0,17.1,13.8,6.529166666666666,7.287063006065202
2022-08-30,76.0,27.508333333333336,31.2,24.3,3.3,8.6,4.4624999999999995,66.81679209930635
2022-08-31,69.0,28.304166666666664,31.9,25.6,0.7000000000000001,10.6,5.829166666666667,172.2297828994071
2022-09-01,83.0,28.337500000000002,32.0,25.1,3.0,7.4,4.795833333333333,168.88312068731324
2022-09-02,92.0,28.383333333333336,31.9,25.3,12.100000000000001,7.2,3.975,128.05591402473704
2022-09-03,60.0,28.2,31.9,25.9,8.2,11.6,5.833333333333333,192.46004587551118
2022-09-04,44.0,28.09583333333333,31.4,25.9,31.1,17.3,5.858333333333333,195.94654047667936
2022-09-05,29.0,27.175,29.8,25.2,14.5,15.5,6.895833333333333,192.97933153275514
2022-09-06,31.0,27.212500000000002,30.2,24.8,22.2,11.6,6.066666666666666,253.151382863224
2022-09-07,50.0,25.7375,28.0,24.0,11.0,11.9,7.004166666666666,331.1391973984364
2022-09-08,49.0,25.224999999999998,28.8,24.0,23.1,12.0,6.720833333333334,312.1805141903738
2022-09-09,47.0,26.6375,30.4,24.0,9.0,12.0,6.095833333333334,242.01425636618433
2022-09-10,21.0,26.579166666666666,30.8,23.7,27.2,13.4,5.808333333333334,295.170328155628
2022-09-11,43.0,27.525000000000002,31.2,24.2,7.4,13.0,6.920833333333333,289.50416002011104
2022-09-12,60.0,26.895833333333332,31.0,23.5,12.4,10.5,5.966666666666666,80.9576681600718
2022-09-13,81.0,26.96666666666667,31.1,24.5,8.2,6.8,4.158333333333333,303.93722875063884
2022-09-14,68.0,27.1375,30.8,24.3,7.5,12.2,5.45,236.24164707761483
2022-09-15,59.0,27.258333333333336,31.3,24.5,13.2,14.7,7.470833333333334,236.1010529542103
2022-09-16,60.0,27.525000000000002,31.1,24.7,4.1,19.3,8.945833333333333,240.6845536731413
2022-09-17,52.0,27.462500000000002,30.8,25.0,9.5,17.3,7.9750000000000005,222.1818808871234
2022-09-18,56.0,26.974999999999998,29.6,24.8,11.700000000000001,16.2,8.108333333333333,222.8174694569979
2022-09-19,54.0,26.508333333333336,30.0,24.9,17.1,15.4,8.904166666666667,243.35666700923468
2022-09-20,55.0,27.34166666666667,31.1,24.0,1.1,14.8,11.233333333333334,271.2556931051706
2022-09-21,58.0,27.045833333333334,31.5,24.1,17.0,13.0,8.495833333333334,288.9730408769167
2022-09-22,63.0,26.34583333333333,29.8,24.3,19.2,9.5,6.1000000000000005,300.16594477670725
2022-09-23,76.0,25.90416666666667,29.6,24.0,19.2,12.0,5.020833333333333,289.2204674567345
2022-09-24,64.0,26.020833333333332,30.0,23.5,24.5,14.1,4.691666666666667,314.3561960304656
2022-09-25,48.0,25.820833333333336,29.2,23.7,18.0,9.9,4.720833333333333,358.8831847424338
2022-09-26,27.0,25.47083333333333,29.0,23.5,28.3,8.4,4.979166666666667,200.45025508182644
2022-09-27,41.0,25.77916666666667,29.2,24.0,20.0,13.6,6.733333333333333,266.12560589090725
2022-09-28,60.0,26.662499999999998,29.9,24.1,0.2,18.7,12.820833333333333,280.6386381290823
2022-09-29,48.0,25.958333333333332,27.9,24.5,18.1,17.6,12.154166666666667,254.79675907642883
2022-09-30,16.0,27.133333333333336,29.8,24.9,16.8,19.0,10.154166666666667,215.17589391011037
2022-10-01,27.0,27.441666666666666,29.8,25.4,5.2,17.1,9.920833333333333,189.2545248546513
2022-10-02,54.0,27.354166666666668,30.8,24.6,5.5,8.7,4.658333333333333,311.8114834028792
2022-10-03,52.0,25.55,28.9,24.0,22.099999999999998,14.6,7.204166666666667,47.79852503028934
2022-10-04,62.0,25.804166666666664,30.0,23.2,12.2,18.7,8.279166666666667,66.27368749919636
2022-10-05,65.0,26.15833333333333,28.8,24.0,11.6,12.0,6.645833333333333,0.7886222199186746
